# Messreihe Lazy Karin 2026-09-19 (Bericht docs/messung-lazy-karin-2026-09-19.md, Aufbau und Metriken wie docs/messung-lazy-skills-2026-09-18.md). CSV, UTF-8, Komma, Textfelder mit Komma in doppelten Anführungszeichen. Spalten: cli=claude|codex; zustand=vorher (main 90c3510, bibliothekarin 0.6.1)|nachher (feature/lazy-karin 99d7504, bibliothekarin 0.7.0)|differenz (nachher − vorher); messung=context (Claude /context)|baseline (Claude-Agent mit Auftrag OK)|prompt-input (Codex-Startprompt); persona=bibliothekarin (Agent bibliothekarin:bibliothekarin)|bibliothekarin-search (Agent bibliothekarin:bibliothekarin-search), sonst Plugin (bibliothekarin), builtin oder gesamt; metrik=Name laut Abschnitt Metriken im Bericht der Vorlage; wert=Zahl mit Punkt als Dezimaltrenner ohne Tausendertrenner oder n/a; einheit=tokens|zeichen|bytes|requests|anzahl|dateien|usd|s; anmerkung=Quelle, Zusammensetzung, Einschränkung. Baseline-Werte sind Einzelläufe (n=1) ohne Streuung.
cli,zustand,messung,persona,metrik,wert,einheit,anmerkung
claude,vorher,context,gesamt,system_prompt,2100,tokens,Anzeige 2.1k; Läufe context-before-1 bis -4 identisch
claude,nachher,context,gesamt,system_prompt,2100,tokens,Anzeige 2.1k; Läufe context-after-1 bis -4 identisch
claude,differenz,context,gesamt,system_prompt,0,tokens,"nachher − vorher, aus gerundeten Anzeigewerten"
claude,vorher,context,gesamt,system_tools,6400,tokens,Anzeige 6.4k; Artefakt: /context zieht die Skills-Schätzung von 9545 (count_tokens der System-Tools) ab
claude,nachher,context,gesamt,system_tools,7000,tokens,Anzeige 7k; Artefakt wie vorher
claude,differenz,context,gesamt,system_tools,600,tokens,"nachher − vorher; Artefakt, Spiegelbild der Skills-Differenz"
claude,vorher,context,gesamt,mcp_tools,627,tokens,Anzeige 627
claude,nachher,context,gesamt,mcp_tools,627,tokens,Anzeige 627
claude,vorher,context,gesamt,mcp_tools_deferred,7300,tokens,Anzeige 7.3k
claude,nachher,context,gesamt,mcp_tools_deferred,7300,tokens,Anzeige 7.3k
claude,vorher,context,gesamt,system_tools_deferred,13400,tokens,Anzeige 13.4k
claude,nachher,context,gesamt,system_tools_deferred,13400,tokens,Anzeige 13.4k
claude,vorher,context,gesamt,custom_agents,1500,tokens,Anzeige 1.5k
claude,nachher,context,gesamt,custom_agents,1400,tokens,Anzeige 1.4k
claude,differenz,context,gesamt,custom_agents,-100,tokens,"nachher − vorher, aus gerundeten Anzeigewerten"
claude,vorher,context,gesamt,memory_files,2800,tokens,Anzeige 2.8k
claude,nachher,context,gesamt,memory_files,2800,tokens,Anzeige 2.8k
claude,vorher,context,gesamt,skills,3100,tokens,Anzeige 3.1k
claude,nachher,context,gesamt,skills,2500,tokens,Anzeige 2.5k
claude,differenz,context,gesamt,skills,-600,tokens,"nachher − vorher, aus gerundeten Anzeigewerten"
claude,vorher,context,gesamt,messages,8,tokens,Anzeige 8
claude,nachher,context,gesamt,messages,8,tokens,Anzeige 8
claude,vorher,context,gesamt,summe,16600,tokens,"Anzeige 16.6k; Tokens-Zeile, enthält die Skill-Ersparnis wegen des System-tools-Artefakts nicht"
claude,nachher,context,gesamt,summe,16500,tokens,"Anzeige 16.5k; Tokens-Zeile, enthält die Skill-Ersparnis wegen des System-tools-Artefakts nicht"
claude,differenz,context,gesamt,summe,-100,tokens,"nachher − vorher, aus gerundeten Anzeigewerten"
claude,nachher,context,gesamt,count_tokens_system_tools,9545,tokens,"count_tokens-Request von /context, per Proxy mitgeschnitten (context-after-proxy); /context über Proxy textgleich mit direktem Lauf"
claude,vorher,context,bibliothekarin,agent:bibliothekarin,362,tokens,/context Custom Agents (exakt)
claude,nachher,context,bibliothekarin,agent:bibliothekarin,231,tokens,/context Custom Agents (exakt)
claude,differenz,context,bibliothekarin,agent:bibliothekarin,-131,tokens,nachher − vorher (-36.2 %)
claude,vorher,context,bibliothekarin,agent:bibliothekarin-search,99,tokens,/context Custom Agents (exakt)
claude,nachher,context,bibliothekarin,agent:bibliothekarin-search,99,tokens,/context Custom Agents (exakt)
claude,differenz,context,bibliothekarin,agent:bibliothekarin-search,0,tokens,nachher − vorher
claude,vorher,context,bibliothekarin,agents_plugin,461,tokens,Summe der beiden Agenten
claude,nachher,context,bibliothekarin,agents_plugin,330,tokens,Summe der beiden Agenten
claude,differenz,context,bibliothekarin,agents_plugin,-131,tokens,nachher − vorher (-28.4 %)
claude,vorher,context,gesamt,custom_agents_exakt,1499,tokens,Summe der Detailzeilen (6 Agenten)
claude,nachher,context,gesamt,custom_agents_exakt,1368,tokens,Summe der Detailzeilen (6 Agenten)
claude,vorher,context,bibliothekarin,skill:karin,30,tokens,/context-Schätzwert ~30
claude,nachher,context,bibliothekarin,skill:karin,30,tokens,/context-Schätzwert ~30
claude,vorher,context,bibliothekarin,skill:vault,30,tokens,/context-Schätzwert ~30
claude,nachher,context,bibliothekarin,skill:vault,30,tokens,/context-Schätzwert ~30
claude,vorher,context,bibliothekarin,skill:defuddle,130,tokens,/context-Schätzwert ~130
claude,nachher,context,bibliothekarin,skill:defuddle,130,tokens,/context-Schätzwert ~130
claude,vorher,context,bibliothekarin,skill:diagramm-auswahl,130,tokens,/context-Schätzwert ~130
claude,nachher,context,bibliothekarin,skill:diagramm-auswahl,0,tokens,nicht mehr im Listing (disable-model-invocation: true)
claude,vorher,context,bibliothekarin,skill:json-canvas,90,tokens,/context-Schätzwert ~90
claude,nachher,context,bibliothekarin,skill:json-canvas,0,tokens,nicht mehr im Listing (nach references/ verschoben)
claude,vorher,context,bibliothekarin,skill:mermaid,130,tokens,/context-Schätzwert ~130
claude,nachher,context,bibliothekarin,skill:mermaid,0,tokens,nicht mehr im Listing (disable-model-invocation: true)
claude,vorher,context,bibliothekarin,skill:obsidian-bases,100,tokens,/context-Schätzwert ~100
claude,nachher,context,bibliothekarin,skill:obsidian-bases,0,tokens,nicht mehr im Listing (nach references/ verschoben)
claude,vorher,context,bibliothekarin,skill:obsidian-cli,170,tokens,/context-Schätzwert ~170
claude,nachher,context,bibliothekarin,skill:obsidian-cli,170,tokens,/context-Schätzwert ~170
claude,vorher,context,bibliothekarin,skill:obsidian-markdown,100,tokens,/context-Schätzwert ~100
claude,nachher,context,bibliothekarin,skill:obsidian-markdown,100,tokens,/context-Schätzwert ~100
claude,vorher,context,bibliothekarin,skill:plantuml,160,tokens,/context-Schätzwert ~160
claude,nachher,context,bibliothekarin,skill:plantuml,0,tokens,nicht mehr im Listing (disable-model-invocation: true)
claude,vorher,context,bibliothekarin,skills_eintraege,10,anzahl,Einträge im Skills-Listing inkl. Commands karin und vault
claude,nachher,context,bibliothekarin,skills_eintraege,5,anzahl,Einträge im Skills-Listing inkl. Commands karin und vault
claude,vorher,context,bibliothekarin,skills_plugin,1070,tokens,Summe der ~-Schätzwerte
claude,nachher,context,bibliothekarin,skills_plugin,460,tokens,Summe der ~-Schätzwerte
claude,differenz,context,bibliothekarin,skills_plugin,-610,tokens,nachher − vorher (-57.0 %)
claude,vorher,baseline,bibliothekarin,main_first,35400,tokens,"--model sonnet, ohne Proxy, usage der ersten Haupt-Antwort in stream-json (bl-before-karin-direct); über Proxy 35398"
claude,nachher,baseline,bibliothekarin,main_first,34459,tokens,"--model sonnet, ohne Proxy (bl-after-karin-direct); über Proxy 34460"
claude,differenz,baseline,bibliothekarin,main_first,-941,tokens,nachher − vorher (-2.7 %)
claude,vorher,baseline,bibliothekarin,sub_first,30318,tokens,"Agent claude-opus-5, Proxy (bl-before-karin-proxy); input 2 + cache_creation 21581 + cache_read 8735"
claude,nachher,baseline,bibliothekarin,sub_first,13463,tokens,"Agent claude-opus-5, Proxy (bl-after-karin-proxy); input 2 + cache_creation 4906 + cache_read 8555"
