# Messreihe Lazy Skills 2026-09-18 (Bericht docs/messung-lazy-skills-2026-09-18.md). CSV, UTF-8, Komma, Textfelder mit Komma in doppelten Anführungszeichen. Spalten: cli=claude|codex; zustand=vorher (main f22c0dc)|nachher (HEAD 71871af)|differenz (nachher − vorher); messung=context (Claude /context)|baseline (Claude-Persona mit Auftrag OK)|prompt-input (Codex-Startprompt)|dynamisch (Claude-Arbeitsauftrag)|dynamisch-implizit|dynamisch-explizit (Codex-Arbeitsauftrag ohne/mit $-Command); persona=bertram|christian|bruce (Plugin it-grundschutz)|nixie, sonst Plugin (bibliothekarin, tools), builtin oder gesamt; metrik=Name laut Abschnitt Metriken im Bericht; wert=Zahl mit Punkt als Dezimaltrenner ohne Tausendertrenner oder n/a; einheit=tokens|zeichen|bytes|requests|anzahl|dateien|usd|s|bool; anmerkung=Quelle, Zusammensetzung, Einschränkung. Dynamische Werte sind Einzelläufe (n=1) ohne Streuung.
cli,zustand,messung,persona,metrik,wert,einheit,anmerkung
claude,vorher,context,gesamt,system_prompt,2100,tokens,Anzeige 2.1k; Läufe sc-context-before-3/-4 identisch
claude,nachher,context,gesamt,system_prompt,2100,tokens,Anzeige 2.1k; Läufe sc-context-after-3/-4 identisch
claude,differenz,context,gesamt,system_prompt,0,tokens,"nachher − vorher, aus gerundeten Anzeigewerten"
claude,vorher,context,gesamt,system_tools,1900,tokens,"Anzeige 1.9k; Läufe sc-context-before-3/-4 identisch; Artefakt: /context zieht Skills-Schätzung von 9545 (count_tokens der 11 System-Tools, in beiden Zuständen gleich) ab"
claude,nachher,context,gesamt,system_tools,6400,tokens,"Anzeige 6.4k; Läufe sc-context-after-3/-4 identisch; Artefakt: /context zieht Skills-Schätzung von 9545 (count_tokens der 11 System-Tools, in beiden Zuständen gleich) ab"
claude,differenz,context,gesamt,system_tools,4500,tokens,"nachher − vorher, aus gerundeten Anzeigewerten"
claude,vorher,context,gesamt,mcp_tools,627,tokens,Anzeige 627; Läufe sc-context-before-3/-4 identisch
claude,nachher,context,gesamt,mcp_tools,627,tokens,Anzeige 627; Läufe sc-context-after-3/-4 identisch
claude,differenz,context,gesamt,mcp_tools,0,tokens,"nachher − vorher, aus gerundeten Anzeigewerten"
claude,vorher,context,gesamt,mcp_tools_deferred,7300,tokens,Anzeige 7.3k; Läufe sc-context-before-3/-4 identisch
claude,nachher,context,gesamt,mcp_tools_deferred,7300,tokens,Anzeige 7.3k; Läufe sc-context-after-3/-4 identisch
claude,differenz,context,gesamt,mcp_tools_deferred,0,tokens,"nachher − vorher, aus gerundeten Anzeigewerten"
claude,vorher,context,gesamt,system_tools_deferred,13400,tokens,Anzeige 13.4k; Läufe sc-context-before-3/-4 identisch
claude,nachher,context,gesamt,system_tools_deferred,13400,tokens,Anzeige 13.4k; Läufe sc-context-after-3/-4 identisch
claude,differenz,context,gesamt,system_tools_deferred,0,tokens,"nachher − vorher, aus gerundeten Anzeigewerten"
claude,vorher,context,gesamt,custom_agents,2600,tokens,Anzeige 2.6k; Läufe sc-context-before-3/-4 identisch
claude,nachher,context,gesamt,custom_agents,1500,tokens,Anzeige 1.5k; Läufe sc-context-after-3/-4 identisch
claude,differenz,context,gesamt,custom_agents,-1100,tokens,"nachher − vorher, aus gerundeten Anzeigewerten"
claude,vorher,context,gesamt,memory_files,2800,tokens,Anzeige 2.8k; Läufe sc-context-before-3/-4 identisch
claude,nachher,context,gesamt,memory_files,2800,tokens,Anzeige 2.8k; Läufe sc-context-after-3/-4 identisch
claude,differenz,context,gesamt,memory_files,0,tokens,"nachher − vorher, aus gerundeten Anzeigewerten"
claude,vorher,context,gesamt,skills,7600,tokens,Anzeige 7.6k; Läufe sc-context-before-3/-4 identisch
claude,nachher,context,gesamt,skills,3100,tokens,Anzeige 3.1k; Läufe sc-context-after-3/-4 identisch
claude,differenz,context,gesamt,skills,-4500,tokens,"nachher − vorher, aus gerundeten Anzeigewerten"
claude,vorher,context,gesamt,messages,8,tokens,Anzeige 8; Läufe sc-context-before-3/-4 identisch
claude,nachher,context,gesamt,messages,8,tokens,Anzeige 8; Läufe sc-context-after-3/-4 identisch
claude,differenz,context,gesamt,messages,0,tokens,"nachher − vorher, aus gerundeten Anzeigewerten"
claude,vorher,context,gesamt,summe,17800,tokens,"Anzeige 17.8k; Läufe sc-context-before-3/-4 identisch; Tokens-Zeile, enthält die Skill-Ersparnis wegen des System-tools-Artefakts nicht"
claude,nachher,context,gesamt,summe,16600,tokens,"Anzeige 16.6k; Läufe sc-context-after-3/-4 identisch; Tokens-Zeile, enthält die Skill-Ersparnis wegen des System-tools-Artefakts nicht"
claude,differenz,context,gesamt,summe,-1200,tokens,"nachher − vorher, aus gerundeten Anzeigewerten"
claude,vorher,context,gesamt,count_tokens_system_tools,9545,tokens,"count_tokens-Request von /context (11 Tools: Agent,Bash,Edit,ListAgents,Read,ReportFindings,ScheduleWakeup,Skill,ToolSearch,Workflow,Write), per Proxy mitgeschnitten"
claude,vorher,context,gesamt,count_tokens_skill_tool,917,tokens,"count_tokens-Request von /context nur Skill-Tool, per Proxy"
claude,nachher,context,gesamt,count_tokens_system_tools,9545,tokens,"count_tokens-Request von /context (11 Tools: Agent,Bash,Edit,ListAgents,Read,ReportFindings,ScheduleWakeup,Skill,ToolSearch,Workflow,Write), per Proxy mitgeschnitten"
claude,nachher,context,gesamt,count_tokens_skill_tool,917,tokens,"count_tokens-Request von /context nur Skill-Tool, per Proxy"
claude,vorher,context,bertram,agent:bertram,549,tokens,/context Custom Agents
claude,nachher,context,bertram,agent:bertram,264,tokens,/context Custom Agents
claude,differenz,context,bertram,agent:bertram,-285,tokens,nachher − vorher
claude,vorher,context,bibliothekarin,agent:bibliothekarin,362,tokens,/context Custom Agents
claude,nachher,context,bibliothekarin,agent:bibliothekarin,362,tokens,/context Custom Agents
claude,differenz,context,bibliothekarin,agent:bibliothekarin,0,tokens,nachher − vorher
claude,vorher,context,bibliothekarin,agent:bibliothekarin-search,99,tokens,/context Custom Agents
claude,nachher,context,bibliothekarin,agent:bibliothekarin-search,99,tokens,/context Custom Agents
claude,differenz,context,bibliothekarin,agent:bibliothekarin-search,0,tokens,nachher − vorher
claude,vorher,context,christian,agent:christian,594,tokens,/context Custom Agents
claude,nachher,context,christian,agent:christian,257,tokens,/context Custom Agents
claude,differenz,context,christian,agent:christian,-337,tokens,nachher − vorher
claude,vorher,context,bruce,agent:bruce,709,tokens,/context Custom Agents
claude,nachher,context,bruce,agent:bruce,257,tokens,/context Custom Agents
claude,differenz,context,bruce,agent:bruce,-452,tokens,nachher − vorher
claude,vorher,context,nixie,agent:nixie,308,tokens,/context Custom Agents
claude,nachher,context,nixie,agent:nixie,260,tokens,/context Custom Agents
claude,differenz,context,nixie,agent:nixie,-48,tokens,nachher − vorher
claude,vorher,context,gesamt,custom_agents_exakt,2621,tokens,Summe der Detailzeilen
claude,nachher,context,gesamt,custom_agents_exakt,1499,tokens,Summe der Detailzeilen
claude,differenz,context,gesamt,custom_agents_exakt,-1122,tokens,nachher − vorher
claude,vorher,context,bibliothekarin,skill:karin,30,tokens,/context-Schätzwert ~30
claude,nachher,context,bibliothekarin,skill:karin,30,tokens,/context-Schätzwert ~30
claude,vorher,context,bibliothekarin,skill:vault,30,tokens,/context-Schätzwert ~30
claude,nachher,context,bibliothekarin,skill:vault,30,tokens,/context-Schätzwert ~30
claude,vorher,context,nixie,skill:nixie,30,tokens,/context-Schätzwert ~30; Persona-Command im Skill-Listing
claude,nachher,context,nixie,skill:nixie,0,tokens,nicht mehr gelistet; Persona-Command im Skill-Listing
claude,vorher,context,bruce,skill:bruce,30,tokens,/context-Schätzwert ~30; Persona-Command im Skill-Listing
claude,nachher,context,bruce,skill:bruce,0,tokens,nicht mehr gelistet; Persona-Command im Skill-Listing
claude,vorher,context,bertram,skill:bertram,30,tokens,/context-Schätzwert ~30; Persona-Command im Skill-Listing
claude,nachher,context,bertram,skill:bertram,0,tokens,nicht mehr gelistet; Persona-Command im Skill-Listing
claude,vorher,context,christian,skill:christian,40,tokens,/context-Schätzwert ~40; Persona-Command im Skill-Listing
claude,nachher,context,christian,skill:christian,0,tokens,nicht mehr gelistet; Persona-Command im Skill-Listing
claude,vorher,context,bibliothekarin,skill:defuddle,130,tokens,/context-Schätzwert ~130
claude,nachher,context,bibliothekarin,skill:defuddle,130,tokens,/context-Schätzwert ~130
claude,vorher,context,bibliothekarin,skill:diagramm-auswahl,130,tokens,/context-Schätzwert ~130
claude,nachher,context,bibliothekarin,skill:diagramm-auswahl,130,tokens,/context-Schätzwert ~130
claude,vorher,context,bibliothekarin,skill:json-canvas,90,tokens,/context-Schätzwert ~90
claude,nachher,context,bibliothekarin,skill:json-canvas,90,tokens,/context-Schätzwert ~90
claude,vorher,context,bibliothekarin,skill:mermaid,130,tokens,/context-Schätzwert ~130
claude,nachher,context,bibliothekarin,skill:mermaid,130,tokens,/context-Schätzwert ~130
claude,vorher,context,bibliothekarin,skill:obsidian-bases,100,tokens,/context-Schätzwert ~100
claude,nachher,context,bibliothekarin,skill:obsidian-bases,100,tokens,/context-Schätzwert ~100
claude,vorher,context,bibliothekarin,skill:obsidian-cli,170,tokens,/context-Schätzwert ~170
claude,nachher,context,bibliothekarin,skill:obsidian-cli,170,tokens,/context-Schätzwert ~170
claude,vorher,context,bibliothekarin,skill:obsidian-markdown,100,tokens,/context-Schätzwert ~100
claude,nachher,context,bibliothekarin,skill:obsidian-markdown,100,tokens,/context-Schätzwert ~100
claude,vorher,context,bibliothekarin,skill:plantuml,160,tokens,/context-Schätzwert ~160
claude,nachher,context,bibliothekarin,skill:plantuml,160,tokens,/context-Schätzwert ~160
claude,vorher,context,nixie,skill:nix-deploy,140,tokens,/context-Schätzwert ~140
claude,nachher,context,nixie,skill:nix-deploy,0,tokens,nicht mehr gelistet
claude,vorher,context,nixie,skill:nix-docs,130,tokens,/context-Schätzwert ~130
claude,nachher,context,nixie,skill:nix-docs,0,tokens,nicht mehr gelistet
claude,vorher,context,nixie,skill:nix-packaging,120,tokens,/context-Schätzwert ~120
claude,nachher,context,nixie,skill:nix-packaging,0,tokens,nicht mehr gelistet
claude,vorher,context,nixie,skill:nixos-config,130,tokens,/context-Schätzwert ~130
claude,nachher,context,nixie,skill:nixos-config,0,tokens,nicht mehr gelistet
claude,vorher,context,bruce,skill:gs-cache,220,tokens,/context-Schätzwert ~220
claude,nachher,context,bruce,skill:gs-cache,0,tokens,nicht mehr gelistet
claude,vorher,context,bruce,skill:gs-crosswalk,210,tokens,/context-Schätzwert ~210
claude,nachher,context,bruce,skill:gs-crosswalk,0,tokens,nicht mehr gelistet
claude,vorher,context,bruce,skill:gs-dokument,210,tokens,/context-Schätzwert ~210
claude,nachher,context,bruce,skill:gs-dokument,0,tokens,nicht mehr gelistet
claude,vorher,context,bruce,skill:gs-ingest,180,tokens,/context-Schätzwert ~180
claude,nachher,context,bruce,skill:gs-ingest,0,tokens,nicht mehr gelistet
claude,vorher,context,bruce,skill:gs-krypto,200,tokens,/context-Schätzwert ~200
claude,nachher,context,bruce,skill:gs-krypto,0,tokens,nicht mehr gelistet
claude,vorher,context,bruce,skill:gs-lookup,140,tokens,/context-Schätzwert ~140
claude,nachher,context,bruce,skill:gs-lookup,0,tokens,nicht mehr gelistet
claude,vorher,context,bruce,skill:gs-modellierung,190,tokens,/context-Schätzwert ~190
claude,nachher,context,bruce,skill:gs-modellierung,0,tokens,nicht mehr gelistet
claude,vorher,context,bruce,skill:gs-review,230,tokens,/context-Schätzwert ~230
claude,nachher,context,bruce,skill:gs-review,0,tokens,nicht mehr gelistet
claude,vorher,context,bertram,skill:net-config,180,tokens,/context-Schätzwert ~180
claude,nachher,context,bertram,skill:net-config,0,tokens,nicht mehr gelistet
claude,vorher,context,bertram,skill:net-design,180,tokens,/context-Schätzwert ~180
claude,nachher,context,bertram,skill:net-design,0,tokens,nicht mehr gelistet
claude,vorher,context,bertram,skill:net-diagnose,160,tokens,/context-Schätzwert ~160
claude,nachher,context,bertram,skill:net-diagnose,0,tokens,nicht mehr gelistet
claude,vorher,context,bertram,skill:net-operate,160,tokens,/context-Schätzwert ~160
claude,nachher,context,bertram,skill:net-operate,0,tokens,nicht mehr gelistet
claude,vorher,context,bertram,skill:net-reference,140,tokens,/context-Schätzwert ~140
claude,nachher,context,bertram,skill:net-reference,0,tokens,nicht mehr gelistet
claude,vorher,context,christian,skill:bsd-firewall,360,tokens,/context-Schätzwert ~360
claude,nachher,context,christian,skill:bsd-firewall,0,tokens,nicht mehr gelistet
claude,vorher,context,christian,skill:openvpn,190,tokens,/context-Schätzwert ~190
claude,nachher,context,christian,skill:openvpn,0,tokens,nicht mehr gelistet
claude,vorher,context,christian,skill:router-appliance,250,tokens,/context-Schätzwert ~250
claude,nachher,context,christian,skill:router-appliance,0,tokens,nicht mehr gelistet
claude,vorher,context,christian,skill:vpn-reference,190,tokens,/context-Schätzwert ~190
claude,nachher,context,christian,skill:vpn-reference,0,tokens,nicht mehr gelistet
claude,vorher,context,christian,skill:vpn-tunnel,240,tokens,/context-Schätzwert ~240
claude,nachher,context,christian,skill:vpn-tunnel,0,tokens,nicht mehr gelistet
claude,vorher,context,christian,skill:wan-link,290,tokens,/context-Schätzwert ~290
claude,nachher,context,christian,skill:wan-link,0,tokens,nicht mehr gelistet
claude,vorher,context,bibliothekarin,skills_plugin,1070,tokens,Summe der ~-Schätzwerte
claude,nachher,context,bibliothekarin,skills_plugin,1070,tokens,Summe der ~-Schätzwerte
claude,differenz,context,bibliothekarin,skills_plugin,0,tokens,Summe der ~-Schätzwerte
claude,vorher,context,nixie,skills_plugin,550,tokens,Summe der ~-Schätzwerte
claude,nachher,context,nixie,skills_plugin,0,tokens,Summe der ~-Schätzwerte
