# Edition-2023 Komponente->Baustein-Hinttabelle (plugin-eigen, MIT — NICHT der BSI-Korpus).
# Heuristische Modellierungshilfe: ordnet jedem Edition-2023-Baustein generische Asset-Typen zu,
# damit 'gs --edition edition-2023 coverage' aus einer Asset-Liste die zutreffenden Bausteine ableitet.
# Edition 2023 modelliert über Bausteine (nicht über Zielobjektkategorien wie Grundschutz++); der
# BSI-Kreuzbezug ist im Kompendium-XML nicht maschinenlesbar enthalten — diese Zuordnung ist daher eine
# begründete Heuristik und KEIN offizielles BSI-Mapping. baustein_id/titel sind Faktenverweise auf den
# Katalog; die Komponenten-Zuordnung ist die plugin-eigene (MIT) Leistung.
#
# Format:  baustein_id,titel,komponenten,bindung
#   komponenten : ein oder mehrere Asset-Typen, ';'-getrennt
#   bindung     : komponentengebunden (trifft nur bei vorhandenem Asset zu)
#               | übergreifend        (prozessual/organisatorisch, trifft praktisch immer zu = querschnittlich)
# Bei bindung=übergreifend ist komponenten stets "übergreifend" (das Pendant zu STM.5.4 in Grundschutz++).
baustein_id,titel,komponenten,bindung
ISMS.1,Sicherheitsmanagement,übergreifend,übergreifend
ORP.1,Organisation,übergreifend,übergreifend
ORP.2,Personal,übergreifend,übergreifend
ORP.3,Sensibilisierung und Schulung zur Informationssicherheit,übergreifend,übergreifend
ORP.4,Identitäts- und Berechtigungsmanagement,übergreifend,übergreifend
ORP.5,Compliance Management (Anforderungsmanagement),übergreifend,übergreifend
CON.1,Kryptokonzept,übergreifend,übergreifend
CON.2,Datenschutz,übergreifend,übergreifend
CON.3,Datensicherungskonzept,übergreifend,übergreifend
CON.6,Löschen und Vernichten,übergreifend,übergreifend
CON.7,Informationssicherheit auf Auslandsreisen,übergreifend,übergreifend
CON.8,Software-Entwicklung,Fachanwendung,komponentengebunden
CON.9,Informationsaustausch,übergreifend,übergreifend
CON.10,Entwicklung von Webanwendungen,Webanwendung,komponentengebunden
CON.11.1,Geheimschutz VS-NUR FÜR DEN DIENSTGEBRAUCH (VS-NfD),übergreifend,übergreifend
SYS.1.1,Allgemeiner Server,Server,komponentengebunden
